TX2,Cloud,Pi
0.026007652,0.07139504,0.220601702
0.041744328,0.065456057,0.332784462
0.072317314,0.063655829,0.722567844
0.108770251,0.060118842,1.275103283
0.144814706,0.058071089,4.314979792
0.170657516,0.055196667,7.811869764
0.201776028,0.05474565,10.87217817
0.228218913,0.05166328,17.64035583
0.240038729,0.049699068,17.8344058
0.250307655,0.048279834,17.92412472
0.267756796,0.045512152,18.31325355
0.301473308,0.043595171,4.731407309
0.349137735,0.040499067,5.991810751
0.392938328,0.036661053,15.30797858
0.431023812,0.032307458,22.7599793
0.472973895,0.028653836,30.93327274
0.488743043,0.024576974,35.04192252
0.4586,0,35.50425868
