TX2,Cloud,Pi
0.032763362,0.186071062,0.383104014
0.060738611,0.205771518,1.133462095
0.076444292,0.201342082,1.454937983
0.096652293,0.202769613,1.985033083
0.12016418,0.199466014,2.365579486
0.15466578,0.197642636,2.903053117
0.19139607,0.192389154,3.442105317
0.226520395,0.190560532,4.012713432
0.24673326,0.186408901,4.492378974
0.300140762,0.171998191,5.168212104
0.347193861,0.151115203,5.914672208
0.336120605,0.149098539,6.639013863
0.351529217,0.136893678,7.393640494
0.377273965,0.126601434,7.964749241
0.412310576,0.097343254,8.664587784
0.446915197,0.092971659,9.351757669
0.453517866,0.089255762,10.00650225
0.526590538,0.010364246,11.01372185
0.441,0,9.694978
