TX2,Cloud,Pi
0.041096115,0.114752197,0.544912815
0.171016932,0.104507852,4.256442785
0.27140131,0.098834991,7.459142447
0.350690055,0.096524668,10.79050517
0.469570613,0.092633176,17.77331042
0.525664735,0.090575528,20.79016781
0.587607145,0.090260196,22.72719359
0.649210501,0.087643504,25.09940863
0.768369651,0.082365584,31.49584866
0.831135178,0.078749514,32.9604702
0.899638915,0.075148273,35.52641869
0.961954951,0.071748734,38.03752232
1.028755021,0.067537999,40.58095407
1.092400765,0.064503217,42.63288903
1.296535039,0.051275468,51.84005547
1.370058894,0.041563463,58.35468173
1.479144382,0.032111025,64.68349266
1.468923974,0.031904721,64.6469152
1.239,0,48.47149
